Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
Services was good,['Services was good'],services good,was good,Company_Service,Positive,,,,
VERY BAD,['VERY BAD'],bad,very bad,Company_Service,negative ,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
very professional people,['very professional people'],professional people,professional people,Company_Service,Positive,,,,
Unprofessional workers. Cancelled the booking like Ola cabs.,"['Unprofessional workers', ' Cancelled the booking like Ola cabs']",unprofessional workers,unprofessional workers,Company_Service,negative ,,the booking,,
Amazing service,['Amazing service'],amazing service,amazing service,Company_Service,Positive,,,,
Very good service provided by uc,"['Very good service provided ', ' uc']",good service,good service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Not good for AC services,"['Not good ', ' AC services']",not good,not good,Company_Service,negative ,,ac services,,
satisfied with the service,['satisfied with the service'],satisfied,the service,Company_Service,negative ,,,,
V good and neat service Worth paying ðŸ‘Œ,"['V good ', ' neat service Worth paying ðŸ‘Œ']",good,v good,Company_Service,Positive,neat service,neat service,Company_Service,positive
Very bad work done,['Very bad work done'],bad work done,bad work,service_quality ,negative ,,,,
It was really a nice experience,"['It was really a nice experience', '']",nice experience,nice experience,Company_Service,Positive,,,,
Nice service and  easy app,"['Nice service ', ' easy app']",nice service,nice service,Company_Service,Positive,easy app,easy app,App_UI,Positive
Good work,['Good work'],good work,good work,Company_Service,Positive,,,,
Good services,['Good services'],good services,good services,Company_Service,Positive,,,,
No vlaue for time,['No vlaue for time'],no vlaue,no vlaue,Company_Service,negative ,,,,
shivani is a good beautician,"['shivani is a good beautician', '']",good beautician,good beautician,Company_Service,Positive,,,,
Very bad service,['Very bad service'],bad,bad service,Company_Service,negative ,,,,
Modarate experience. Not upto the mark.,"['Modarate experience', ' Not upto the mark']",modarate experience,modarate experience,service_quality,negative ,,the mark,,
Nice it really help for each and every thing,"['Nice it really help for each ', ' every thing']",nice,,Company_Service,Positive,,every thing,,
Good service clean job,['Good service clean job'],good service,good service,Company_Service,Positive,,,,
Muskan did an excellent job,"['Muskan did an excellent job', '']",excellent job,excellent job,Company_Service,Positive,,,,
Amazing experience,['Amazing experience'],amazing experience,amazing experience,Company_Service,negative ,,,,
Very bad and behaviour  not a treste company #froudcompany,"['Very bad ', ' behaviour not a treste company #froudcompany']",bad,very bad,Company_Service,negative ,behaviour,a treste,service_person_attitude,negative 
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Best service provided,['Best service provided'],best service,best service,Company_Service,Positive,,,,
"Good app, good services...","['Good app', ' good services']",good app,good app,App_Utility,Positive,good services,good services,Company_Service,Positive
Very professional,['Very professional'],professional,very professional,Company_Service,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Everything superb,['Everything superb'],everything superb,everything superb,Company_Service,Positive,,,,
Non committal service.,['Non committal service'],non committal,committal service,Company_Service,negative ,,,,
Your are not providing services in our locality.,"['Your are not providing services ', ' our locality']",providing services,providing services,Company_Service,negative ,,,,
Third class electrician Service,['Third class electrician Service'],third class,third class,Company_Service,negative ,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
Excellent service thanks to urban clap,"['Excellent service', 'thanks to urban clap']",excellent service,excellent service,Company_Service,Positive,,urban clap,,
Terrible service..trust me don't choose..,"['Terrible service', ""trust me don't choose""]",terrible service,terrible service,Company_Service,negative ,,,,
Pathethic service no respone,['Pathethic service no respone'],pathethic service,pathethic service,Company_Service,negative ,,,,
Unprofessional and impunctual service offered.,"['Unprofessional ', ' impunctual service offered']",unprofessional,,service_person_attitude ,negative ,impunctual service,impunctual service,service_schedule,negative 
"Professional, Ontime, Painless","['Professional', ' Ontime, Painless']",professional,,service_person_attitude ,Positive,,,,
Good experience,['Good experience'],good experience,good experience,Company_Service,Positive,,,,
Great work !!,['Great work !!'],great work,great work,Company_Service,Positive,,,,
Very good service.. never dissatisfies me.,"['Very good service', ' never dissatisfies me']",good service,good service,Company_Service,Positive,never dissatisfies,never dissatisfies,service_quality,positive
It was nice experience,['It was nice experience'],nice experience,nice experience,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
"Third class, They don't care about emergency,","['Third class', "" They don't care about emergency""]",third class,third class,Company_Service,negative ,,about emergency,,
Done good job,['Done good job'],good job,good job,Company_Service,Positive,,,,
Very good experience.,['Very good experience'],good experience,good experience,Company_Service,Positive,,,,
Very impressive service,['Very impressive service'],very impressive service,impressive service,Company_Service,Positive,,,,
poor service,['poor service'],poor service,poor service,Company_Service,negative ,,,,
Inefficient mechanics for electronics repair,"['Inefficient mechanics ', ' electronics repair']",inefficient mechanics,inefficient mechanics,Company_Service,negative ,,electronics repair,,
Great experience! More reliable too...,"['Great experience', '! More reliable too']",great experience,great experience,Company_Service,Positive,,more reliable,,
EXCELLENT WORK PUNCTUAL & SOFT SPOKEN.,"['EXCELLENT WORK PUNCTUAL ', ' SOFT SPOKEN']",excellent work,excellent work,Company_Service,Positive,soft spoken,soft spoken,service_person_attitude,Positive
ðŸ‘Nice company ðŸ‘nice professional urban company,"['ðŸ ‘', 'Nice company ðŸ ‘ nice professional urban company']",nice professional,ðÿ ‘,Company_Service,Positive,,nice company,,
"Very nice service, safety, proper cleaning","['Very nice service', ' safety, proper cleaning']",nice service,nice service,Company_Service,Positive,proper cleaning,proper cleaning,service_quality,positive
Very bad charging unnecessary the service is poor,"['Very bad charging unnecessary the service', 'is poor']",poor,the service,Company_Service,negative ,,is poor,,
Excellent and professional work,['Excellent and professional work'],professional work,professional work,service_person_attitude,Positive,,,,
Very Good experience with Urban..,"['Very Good experience ', ' Urban']",good experience,good experience,Company_Service,Positive,,,,
Best service ever,['Best service ever'],best service ever,best service,Company_Service,Positive,,,,
Shameless service,['Shameless service'],shameless service,shameless service,Company_Service,negative ,,,,
i m satisfied ur service.,"['i m satisfied ur service', '']",satisfied,ur service,Company_Service,Positive,,,,
The service i recived by a lady is excellent,"['The service i recived ', ' a lady is excellent']",service,the service,Company_Service,Positive,excellent,a lady,service_quality ,positive
Always had a good service.,"['Always had a good service', '']",good service,good service,Company_Service,Positive,,,,
Awesome service,['Awesome service'],awesome service,awesome service,Company_Service,Positive,,,,
Very helpful service,['Very helpful service'],helpful service,helpful service,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
"Very Bad service,very Bad app","['Very Bad service', 'very Bad app']",bad service,bad service,Company_Service,negative ,bad app,bad app,App_Utility ,negative 
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
Very good and professional work,"['Very good ', ' professional work']",good,very good,Company_Service,Positive,professional work,professional work,service_quality,Positive
Great service at your home,"['Great service ', ' your home']",great service,great service,Company_Service,Positive,,,,
Good professional services also app is easy to use,"['Good professional', 'services also app is easy to use']",good professional,good professional,service_person_attitude,Positive,easy to use,is easy,App_UI,Positive
"One of the most pathetic service providers, highly unprofessional","['One of the most pathetic service providers', ' highly unprofessional']",pathetic service,pathetic service,Company_Service,negative ,highly unprofessional,highly unprofessional,service_person_attitude,negative 
Great services,['Great services'],great services,great services,Company_Service,Positive,,,,
Best services in town with affordable cost ..!,"['Best services in town with affordable cost ', '!']",best services,in town,Company_Service,Positive,affordable cost,,cost,Positive
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Very worst service . I have seen,"['Very worst service ', ' I have seen']",worst service,worst service,Company_Service,negative ,,,,
Outstanding work,['Outstanding work'],out standing work,outstanding work,Company_Service,Positive,,,,
Pathetic service with no control over professionals,"['Pathetic service ', ' no control over professionals']",pathetic service,pathetic service,Company_Service,negative ,,no control,,
Good technicians but very poor Customer_Support.,"['Good technicians ', ' very poor Customer_Support']",good technicians,good technicians,Company_Service,Positive,poor customer_support.,poor customer_support,Customer_Support,negative 
Not received sign up offer amount,"['Not received sign', 'up offer amount']",not received sign up offer amount,received sign,Company_Service,negative ,,up offer,,
worst experience with Washing machine repair.,"['worst experience ', ' Washing machine repair']",worst experience,worst experience,Company_Service,negative ,,washing machine,,
Services good experience,['Services good experience'],good experience,good experience,service_quality,Positive,,,,
Very convenient,['Very convenient'],convenient,very convenient,Company_Service,Positive,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
Amazing experience,['Amazing experience'],amazing experience,amazing experience,Company_Service,Positive,,,,
Worst experience.... Totaly unprofessional makeup artist in jaipur,"['Worst experience', '. Totaly unprofessional makeup artist in jaipur']",worst experience,worst experience,Company_Service,negative ,unprofessional,unprofessional makeup,service_person_attitude,negative 
Bad experience with the termite control unprofessional team,"['Bad experience ', ' the termite control unprofessional team']",bad experience,bad experience,service_quality ,negative ,unprofessional team,the termite,service_person_attitude,negative 
Worst experience ... vendors are better than this,"['Worst experience ', '. vendors are better than this']",worst experience,worst experience,Company_Service,negative ,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Bad experience,['Bad experience'],bad experience,bad experience,Company_Service,negative ,,,,
great service,['great service'],great service,great service,Company_Service,Positive,,,,
services are very good,['services are very good'],services good,very good,Company_Service,Positive,,,,
Every time I regret for booking,"['Every time I regret ', ' booking']",regret booking,every time,Company_Service,Positive,,,,
her services was excellent,['her services was excellent'],her services excellent.,,Company_Service,Positive,,,,
Good service ,['Good service'],good service,good service,Company_Service,Positive,,,,
Worst Service,['Worst Service'],worst service,worst service,Company_Service,negative ,,,,
Urban company done the work satisfactory.,"['Urban company', 'done the work satisfactory']",satisfactory,urban company,Company_Service,Positive,,the work,,
Excellent services,['Excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
"I'm first time user, good exprience","[""I'm first time user"", ' good exprience']",first time user,first time,App_Utility ,Positive,good experience,good exprience,service_quality,positive
Very nice company,['Very nice company'],nice company,nice company,Company_Service,Positive,,,,
Bathroom cleaning job being done in a wonderful way.,"['Bathroom cleaning job being done ', ' a wonderful way']",cleaning job,cleaning job,service_quality ,Positive,wonderful way,wonderful way,service_person_attitude ,positive
Great star urban company,['Great star urban company'],great star,great star,Company_Service,Positive,,,,
Got RO Service. Great Experience.,"['Got RO Service', ' Great Experience']",ro service,ro service,Company_Service,Positive,great experience,great experience,service_quality,positive
skilled professionals are sent,['skilled professionals are sent'],skilled professionals,skilled professionals,service_quality,Positive,,,,
"Good, but rates should be competitive","['Good', ' but rates should be competitive']",good,,Company_Service,Positive,rates,but rates,cost,negative 
Cheating fellows,['Cheating fellows'],cheating fellows,cheating fellows,Company_Service,negative ,,,,
So far commendable ,['So far commendable'],so far commendable,far commendable,Company_Service,Positive,,,,
Good work and app,['Good work and app'],good work,good work,Company_Service,Positive,good app,,App_Utility,negative 
Nice job,['Nice job'],nice job,nice job,Company_Service,Positive,,,,
Good job,['Good job'],good job,good job,Company_Service,Positive,,,,
Worst company no after sales service no warranty given.,"['Worst company', 'no after sales service no warranty given']",worst company,worst company,Company_Service,negative ,,sales service,,
Satisfing all services,['Satisfing all services'],satisfing all services,all services,Company_Service,negative ,,,,
Experience was good with Priya sen I tool Swedish massage,"['Experience was good ', ' Priya sen I tool Swedish massage']",experience,was good,service_quality,Positive,,priya sen,,
Very nice and relaxing,['Very nice and relaxing'],nice relaxing,very nice,Company_Service,Positive,,,,
Good experience,['Good experience'],good experience,good experience,Company_Service,Positive,,,,
Excellent services,['Excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
the service is good,['the service is good'],service good,the service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Hanumanth superb work sofa clening,"['Hanumanth superb', 'work sofa clening']",superb work,hanumanth superb,Company_Service,Positive,,work sofa,,
good one to call for work,"['good one to call ', ' work']",good one to call work,,Company_Service,Positive,,,,
Very very poor company,['Very very poor company'],poor company,poor company,Company_Service,negative ,,,,
Superb service,['Superb service'],superb service,superb service,Company_Service,Positive,,,,
Best service!!!,"['Best service', '! ! !']",best service,best service,Company_Service,Positive,,,,
"Complete waste, not worth opting any service","['Complete waste', ' not worth opting any service']",complete waste,complete waste,Company_Service,negative ,,any service,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Excellent service.,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Waste of time only advertising,"['Waste of time', 'only advertising']",waste of time,of time,Company_Service,negative ,,only advertising,,
Very nice service providers from company.,"['Very nice service', 'providers from company']",nice service,nice service,Company_Service,Positive,,from company,,
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
Worst experience ever.,['Worst experience ever'],worst experience,worst experience,Company_Service,negative ,,,,
Good job by the workers,"['Good job ', ' the workers']",good job,good job,service_quality,Positive,,the workers,,
Am unhappy to your service.,"['Am unhappy to your service', '']",unhappy,,Company_Service,negative ,,,,
Servicing was not satisfied,['Servicing was not satisfied'],not satisfied,not satisfied,Company_Service,Positive,,,,
Nice experience,['Nice experience'],nice experience,nice experience,Company_Service,Positive,,,,
All location not available,['All location not available'],location not available,all location,Company_Service,negative ,,,,
Fast service and very effective recommend for sure,"['Fast service ', ' very effective recommend for sure']",fast service,fast service,Company_Service,Positive,effective,effective recommend,Company_Service,Positive
Very well hygiene maintained. Excellent service..,"['Very well hygiene maintained', ' Excellent service']",hygiene maintained,well hygiene,service_person_attitude ,Positive,excellent service,excellent service,service_quality,Positive
Very good service,['Very good service'],good service,good service,Company_Service,Positive,,,,
Worst and unprofessional not cooperative,"['Worst ', ' unprofessional not cooperative']",worst,,Company_Service,negative ,not cooperative,not cooperative,Customer_Support,negative 
Good professional service,['Good professional service'],good professional,good professional,Company_Service,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Happy with service,['Happy with service'],happy with the service,with service,Company_Service,Positive,,,,
Excellent service. Truly professional. Satisfied,"['Excellent service', ' Truly professional. Satisfied']",excellent service,excellent service,Company_Service,Positive,truly professional,truly professional,service_quality,negative 
Good services,['Good services'],good services,good services,Company_Service,Positive,,,,
Excellent services at door step.,"['Excellent services ', ' door step']",excellent services,excellent services,Company_Service,Positive,,door step,,
Excellent Experience,['Excellent Experience'],excellent experience,excellent experience,Company_Service,Positive,,,,
Very good service,['Very good service'],good service,good service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
Superb job well done,['Superb job well done'],superb job,superb job,Company_Service,Positive,well done,,service_quality,Positive
Best in service. Excellent professionals.,"['Best in service', ' Excellent professionals']",best in service,in service,Company_Service,Positive,excellent professionals,excellent professionals,service_person_attitude,Positive
Great experience every time,['Great experience every time'],great experience,great experience,Company_Service,Positive,,,,
Professional service with complete satisfaction,"['Professional service ', ' complete satisfaction']",professional service,professional service,Company_Service,Positive,complete satisfaction,complete satisfaction,service_quality,Positive
good service . good staff,"['good service ', ' good staff']",good service,good service,Company_Service,Positive,good staff,good staff,service_quality,Positive
Very unprofessional,['Very unprofessional'],unprofessional,very unprofessional,Company_Service,negative ,,,,
Excellent service. I like it ðŸ‘Œ,"['Excellent service', ' I like it ðŸ‘Œ']",excellent service,excellent service,Company_Service,Positive,,‘ œ,,
Best service in affordable rates,"['Best service ', ' affordable rates']",best service,best service,Company_Service,Positive,affordable rates,affordable rates,cost,Positive
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Services are very good .,['Services are very good'],good,very good,Company_Service,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Pathetic service,['Pathetic service'],pathetic service,pathetic service,Company_Service,negative ,,,,
Very nice service. Reasonable and satisfying.,"['Very nice service', ' Reasonable and satisfying']",nice service,nice service,Company_Service,Positive,reasonable,,cost,Positive
Worst company is the best name,"['Worst company', 'is the best name']",worst company,worst company,Company_Service,negative ,,best name,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Worst service providers left the ac job incomplete,"['Worst service', 'providers left the ac job incomplete']",worst service,worst service,Company_Service,negative ,job incomplete,ac job,service_person_attitude,negative 
Prompt service,['Prompt service'],prompt service,prompt service,service_schedule,Positive,,,,
Too expensive but good work,"['Too expensive ', ' good work']",too expensive,too expensive,cost,Positive,good work,good work,service_quality,positive
good job,['good job'],good job,good job,Company_Service,Positive,,,,
Very unprofessional technician ....for electronic gadgets,"['Very unprofessional technician ', '.for electronic gadgets']",unprofessional technician,unprofessional technician,Company_Service,negative ,,electronic gadgets,,
The worst company ever,['The worst company ever'],worst company,worst company,Company_Service,negative ,,,,
Great experience with the service ðŸ‘,"['Great experience ', ' the service ðŸ‘']",great experience,great experience,Company_Service,Positive,,the service,,
Very unprofessional. Bad service,"['Very unprofessional', ' Bad service']",unprofessional,very unprofessional,service_person_attitude,negative ,bad service,bad service,Company_Service,negative 
Prompt and efficient service,['Prompt and efficient service'],prompt efficient service,efficient service,Company_Service,Positive,,,,
best service and on time,"['best service ', ' on time']",best service,best service,Company_Service,Positive,on time,on time,service_schedule,Positive
Urban company is excellent service delivery,"['Urban company', 'is excellent service delivery']",excellent service delivery,urban company,Company_Service,Positive,,excellent service,,
Very good and supportive,['Very good and supportive'],supportive,very good,Company_Service,Positive,,,,
Nice service,['Nice service'],nice service,nice service,service_quality,Positive,,,,
Very bad service,['Very bad service'],bad service,bad service,Company_Service,negative ,,,,
Good services provided by professionals.,"['Good services provided ', ' professionals']",good services,good services,Company_Service,Positive,,,,
Excellent service well trained professional,"['Excellent service', 'well trained professional']",excellent service,excellent service,Company_Service,Positive,trained professional,trained professional,service_person_attitude,Positive
Service was very good,['Service was very good'],good,very good,service_quality,Positive,,,,
Very nice service,['Very nice service'],nice service,nice service,Company_Service,Positive,,,,
Fantastic service,['Fantastic service'],fantastic service,fantastic service,Company_Service,Positive,,,,
One stop solution for all home services..,"['One stop solution ', ' all home services']",one stop solution,one stop,Company_Service,Positive,,all home,,
Excellent trained employees loved UC service ,"['Excellent trained employees', 'loved UC service']",trained employees,trained employees,service_person_attitude,Positive,uc service,uc service,Company_Service,positive
Very professional,['Very professional'],professional,very professional,Company_Service,Positive,,,,
Really good service experience.Must try,"['Really good service experience', 'Must try']",good service,good service,Company_Service,Positive,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
Worst experience,['Worst experience'],worst experience,worst experience,Company_Service,negative ,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Dissatisfied with facial services in indore..,"['Dissatisfied ', ' facial services in indore']",dissatisfied,,Company_Service,negative ,,in indore,,
Good service experience,['Good service experience'],good service,good service,Company_Service,Positive,,,,
perfect job by professionals.,['perfect job by professionals'],perfect job,perfect job,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
best service,['best service'],best service,best service,Company_Service,Positive,,,,
good service satisfied,['good service satisfied'],good service,good service,Company_Service,Positive,,,,
Bad cleaning services,['Bad cleaning services'],bad cleaning services,bad cleaning,Company_Service,negative ,,,,
A one stop shop for all solutions,"['A one stop shop ', ' all solutions']",one stop shop,one stop,Company_Service,Positive,,all solutions,,
Very bad service,['Very bad service'],bad service,bad service,Company_Service,negative ,,,,
Very good service providers,['Very good service providers'],good service,good service,Company_Service,Positive,,,,
Simply awesome always.,['Simply awesome always'],simply awesome,simply awesome,Company_Service,Positive,,,,
Person has done a good job.,"['Person has done a good job', '']",good job,good job,Company_Service,Positive,,,,
service was very good,['service was very good'],good,very good,Company_Service,Positive,,,,
Bad service,['Bad service'],bad service,bad service,Company_Service,negative ,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
The service was excellent,['The service was excellent'],excellent,the service,Company_Service,Positive,,,,
good services so far,['good services so far'],good services,good services,Company_Service,Positive,,,,
Completed job in perfect way with full competency.,"['Completed job in perfect way ', ' full competency']",completed job,completed job,service_person_attitude ,Positive,,full competency,,
It's one place for all work.,"[""It's one place "", ' all work']",place all work,one place,Company_Service,Positive,,all work,,
Very articulate in approach and friendly overall.,"['Very articulate in approach ', ' friendly overall']",articulate in approach,in approach,service_quality,Positive,friendly overall,friendly overall,service_person_attitude,Positive
Pathetic service! Unprofessional and arrogant service providers!,"['Pathetic service! Unprofessional ', ' arrogant service providers!']",pathetic service,pathetic service,Company_Service,negative ,unprofessional arrogant,arrogant service,service_person_attitude,negative 
Nice services,['Nice services'],nice services,nice services,Company_Service,Positive,,,,
Really loved the service.,['Really loved the service'],loved the service,the service,Company_Service,Positive,,,,
Very bad company,['Very bad company'],bad company,bad company,Company_Service,negative ,,,,
nice service and well managed services through the app.,"['nice service ', ' well managed services through the app']",nice service,nice service,Company_Service,Positive,well managed services,the app,Company_Service,positive
Very good service,['Very good service'],good services,good service,Company_Service,Positive,,,,
3 class company,['3 class company'],3 class,3 class,Company_Service,negative ,,,,
Worst service ....,['Worst service'],worst service,worst service,Company_Service,negative ,,,,
Excellent service by urban team,"['Excellent service ', ' urban team']",excellent service,excellent service,Company_Service,Positive,,urban team,,
Excellent service by Mr.Deepak.Thnk you UC..ðŸ¤—,"['Excellent service by Mr', 'Deepak.Thnk you UC.ðŸ¤—']",excellent service,excellent service,Company_Service,Positive,,,,
Very Good good good U/C,"['Very Good good good U/C', '']",good,good u/c,Company_Service,Positive,,,,
neat and professional work,['neat and professional work'],professional work,professional work,Company_Service,Positive,,,,
As always a perfect service,"['As always a perfect service', '']",perfect service,perfect service,Company_Service,Positive,,,,
good work,['good work'],good work,good work,Company_Service,Positive,,,,
Good Professional service. Satisfied.,"['Good Professional service', ' Satisfied']",professional service,good professional,Company_Service,Positive,,,,
Great experience with urban company,"['Great experience ', ' urban company']",great experience,great experience,Company_Service,Positive,,urban company,,
No professionals are getting assigned,"['No professionals', 'are getting assigned']",no professionals getting assigned,no professionals,Company_Service,negative ,,,,
Professional at their work.,['Professional at their work'],professional,,service_person_attitude ,Positive,,,,
Excellent Experience.,['Excellent Experience'],excellent experience,excellent experience,Company_Service,Positive,,,,
Very good service I am very well satisfiedðŸ˜€ðŸ˜€ðŸ˜€,"['Very good service', 'I am very well satisfiedðŸ˜€ðŸ˜€ðŸ˜€']",good service,good service,Company_Service ,Positive,,,,
Very high price of deep cleaning,"['Very high price', 'of deep cleaning']",high price,high price,cost,negative ,,deep cleaning,,
charges are too costly,['charges are too costly'],too costly,too costly,cost,negative ,,,,
costly than individual work,['costly than individual work'],costly,individual work,cost,negative ,,,,
Waste of time and money not worth it,"['Waste of time ', ' money not worth it']",money not worth,of time,cost,negative ,waste of time,,service_schedule,negative 
prices are a bit higher then the market,"['prices are a bit', 'higher then the market']",prices,a bit,cost,negative ,,the market,,
high charges,['high charges'],high charges,high charges,cost,negative ,,,,
too much expensive,['too much expensive'],too much expensive,too much,cost,negative ,,,,
Service charges should be lowered,"['Service charges', 'should be lowered']",service charges,service charges,cost,negative ,,,,
too heavy charges and extra charges,"['too heavy charges ', ' extra charges']",heavy charges,heavy charges,cost,negative ,extra charges,extra charges,cost,negative 
rates are little higher,['rates are little higher'],rates,are little,cost,negative ,,,,
high charges compare to market rate,"['high charges', 'compare to market rate']",high charges,high charges,cost,negative ,,to market,,
very expensive,['very expensive'],expensive,very expensive,cost,negative ,,,,
charging high rates for the jobs which i choosen,"['charging high rates ', ' the jobs which i choosen']",high rates,high rates,cost,negative ,,the jobs,,
Become greedy charging extra,['Become greedy charging extra'],charging extra,become greedy,cost,negative ,,,,
Quite costly for average services,"['Quite costly ', ' average services']",quite costly,quite costly,cost,negative ,,average services,,
High rates never recommend,['High rates never recommend'],high rates,high rates,cost,negative ,,,,
Rates are too high and not enough details for services,"['Rates are too high ', ' not enough details for services']",too high,too high,cost,negative ,not enough details,enough details,App_Utility,negative 
Rate is too high just double,['Rate is too high just double'],high,too high,cost,negative ,,,,
"Liars, cheating, advertise misleading prices","['Liars', ' cheating, advertise misleading prices']",misleading prices,,cost,negative ,,advertise misleading,,
Extremely over priced. A Big 'No'.,"['Extremely over priced', "" A Big 'No'""]",over priced,,cost,negative ,,big 'no,,
nice services I'm so happy,"['nice services', ""I 'm so happy""]",nice services,nice services,Company_Service,Positive,,so happy,,
A perfect place for getting hassle free repair jobs,"['A perfect place ', ' getting hassle free repair jobs']",perfect place,perfect place,App_Utility,Positive,free repair,free repair,cost,positive
Pricing is very Costly.. compared with actual,"['Pricing is very Costly', ' compared with actual']",costly,very costly,Cost,negative ,,with actual,,
Must have app,['Must have app'],app,have app,App_Utility,Positive,,,,
Worst experience.fraud company.  hires inefficient workers.highly not recomended,"['Worst experience', 'fraud company. hires inefficient workers.highly not recomended']",worst experience,worst experience,service_quality,negative ,fraud company,fraud company,Company_Service,negative 
Very good service and very good manner,"['Very good service ', ' very good manner']",good service,good service,Company_Service,Positive,good manner,good manner,service_person_attitude,Positive
Very professional and very helpfull thank you urban clap,"['Very professional ', ' very helpfull thank you urban clap']",professional,very professional,service_person_attitude,Positive,helpful,helpfull thank,App_Utility,positive
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Excellent service ,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Great Service ,['Great Service'],great service,great service,Company_Service,Positive,,,,
good job done,['good job done'],good job,good job,service_quality,Positive,,,,
Extreme slow app,['Extreme slow app'],slow app,slow app,App_Functionality,negative ,,,,
Excellent Service,['Excellent Service'],excellent service,excellent service,service_quality,Positive,,,,
Extremely professional and competent persons,"['Extremely professional ', ' competent persons']",extremely professional,extremely professional,service_person_attitude,Positive,competent persons,competent persons,service_person_attitude,Positive
Very bad app,['Very bad app'],bad app,bad app,App_Utility,negative ,,,,
Excellent service and Decent behaviour,"['Excellent service ', ' Decent behaviour']",excellent service,excellent service,service_quality,Positive,decent behaviour,decent behaviour,service_person_attitude,Positive
Pathetic app... Is not getting install .,"['Pathetic app', '. Is not getting install']",pathetic app,pathetic app,App_Utility,negative ,,getting install,,
They are very professional and excellent job done,"['They are very professional ', ' excellent job done']",professional,very professional,service_person_attitude,Positive,excellent job,excellent job,service_quality,Positive
Great Service,['Great Service'],great service,great service,service_quality,Positive,,,,
"Pathetic service, waste of time and money.","['Pathetic service', ' waste of time and money']",pathetic service,pathetic service,service_quality,negative ,,of time,,
Too expensive...,['Too expensive'],too expensive,too expensive,Cost,negative ,,,,
Good services and stable app.,"['Good services ', ' stable app']",good services,good services,service_quality,Positive,stable app,stable app,App_Utility,Positive
Great and reliable service.,['Great and reliable service'],reliable service,reliable service,service_quality,Positive,,,,
Unsatisfactory services...,['Unsatisfactory services'],unsatisfactory services,unsatisfactory services,service_quality,negative ,,,,
nice job good....satisfied,"['nice job good', '.satisfied']",nice job,nice job,service_quality,Positive,,,,
Good app and experience,['Good app and experience'],good app,good app,App_Utility,Positive,experience,,Company_Service,Positive
super fast and satisfactory service. loved it.,"['super fast and satisfactory service', ' loved it']",super fast,super fast,service_schedule,Positive,,,,
People that they've sent have always been professional,"[""People that they've sent have always been professional""]",professional,been professional,service_person_attitude,Positive,,,,
Nice experience,['Nice experience'],nice experience,nice experience,service_quality,Positive,,,,
excellent cleaning service. Highly recommendable.,"['excellent cleaning service', ' Highly recommendable']",excellent cleaning,excellent cleaning,service_quality,Positive,,highly recommendable,,
very well service,['very well service'],well service,well service,Company_Service,Positive,,,,
Good staff and excellent service.,"['Good staff ', ' excellent service']",good staff,good staff,service_person_attitude,Positive,excellent service,excellent service,service_quality,Positive
excellent service.,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Worst service. ,['Worst service'],worst service,worst service,Company_Service,negative ,,,,
Very good service,['Very good service'],good service,good service,Company_Service,Positive,,,,
Very bad service,['Very bad service'],bad service,bad service,Company_Service,negative ,,,,
Good team work & reasonably priced.,"['Good team work ', ' reasonably priced']",good team,good team,service_person_attitude,Positive,reasonably priced,,Cost,Positive
